[2025-03-10T01:38:59.963+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-10T01:39:00.043+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-10T01:38:50.111709+00:00 [queued]>
[2025-03-10T01:39:18.232+0000] {tiki_extract_dag.py:151} INFO - Skipped product 74402547 due to duplicate
[2025-03-10T01:39:18.233+0000] {tiki_extract_dag.py:151} INFO - Skipped product 68494638 due to duplicate
[2025-03-10T01:39:18.233+0000] {tiki_extract_dag.py:151} INFO - Skipped product 65401394 due to duplicate
[2025-03-10T01:39:18.234+0000] {tiki_extract_dag.py:151} INFO - Skipped product 50699284 due to duplicate
[2025-03-10T01:39:18.234+0000] {tiki_extract_dag.py:151} INFO - Skipped product 48579668 due to duplicate
[2025-03-10T01:39:18.235+0000] {tiki_extract_dag.py:151} INFO - Skipped product 44810580 due to duplicate
[2025-03-10T01:39:18.236+0000] {tiki_extract_dag.py:151} INFO - Skipped product 43754492 due to duplicate
[2025-03-10T01:39:18.236+0000] {tiki_extract_dag.py:151} INFO - Skipped product 37153816 due to duplicate
[2025-03-10T01:39:18.237+0000] {tiki_extract_dag.py:151} INFO - Skipped product 36158810 due to duplicate
[2025-03-10T01:39:18.237+0000] {tiki_extract_dag.py:151} INFO - Skipped product 25444067 due to duplicate
[2025-03-10T01:39:18.238+0000] {tiki_extract_dag.py:151} INFO - Skipped product 7690641 due to duplicate
[2025-03-10T01:39:18.238+0000] {tiki_extract_dag.py:151} INFO - Skipped product 878393 due to duplicate
[2025-03-10T01:39:18.239+0000] {tiki_extract_dag.py:151} INFO - Skipped product 654647 due to duplicate
[2025-03-10T01:39:18.239+0000] {tiki_extract_dag.py:151} INFO - Skipped product 630778 due to duplicate
[2025-03-10T01:39:18.240+0000] {tiki_extract_dag.py:151} INFO - Skipped product 580508 due to duplicate
[2025-03-10T01:39:18.240+0000] {tiki_extract_dag.py:151} INFO - Skipped product 460943 due to duplicate
[2025-03-10T01:39:18.241+0000] {tiki_extract_dag.py:154} INFO - Extracted page 5 - lam-dep-suc-khoe, 40 items, total extracted: 0
[2025-03-10T01:39:22.794+0000] {tiki_extract_dag.py:151} INFO - Skipped product 276177424 due to duplicate
[2025-03-10T01:39:22.795+0000] {tiki_extract_dag.py:151} INFO - Skipped product 275841721 due to duplicate
[2025-03-10T01:39:22.796+0000] {tiki_extract_dag.py:151} INFO - Skipped product 275463214 due to duplicate
[2025-03-10T01:39:22.796+0000] {tiki_extract_dag.py:151} INFO - Skipped product 275269716 due to duplicate
